id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
840464,movie,Greenland 2: Migration,2026-01-07,506.1661,6.546,185,en,,Adventure; Thriller; Science Fiction
1168190,movie,The Wrecking Crew,2026-01-28,476.9111,6.335,88,en,,Action; Comedy; Crime; Mystery
1084242,movie,Zootopia 2,2025-11-26,391.9834,7.615,1347,en,,Animation; Comedy; Adventure; Family; Mystery
1419406,movie,The Shadow's Edge,2025-08-16,376.128,7.204,358,zh,,Action; Crime; Drama; Thriller
1306368,movie,The Rip,2026-01-13,267.9703,7.054,911,en,,Action; Thriller; Crime
1234731,movie,Anaconda,2025-12-24,244.0741,6.0,281,en,,Adventure; Comedy; Horror
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,234.5038,8.083,138,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1242898,movie,Predator: Badlands,2025-11-05,210.7863,7.757,1723,en,,Action; Science Fiction; Adventure
1584215,movie,The Internship,2026-01-13,210.3517,6.242,33,en,,Action
83533,movie,Avatar: Fire and Ash,2025-12-17,209.4497,7.297,1657,en,,Science Fiction; Adventure; Fantasy
1043197,movie,Dust Bunny,2025-12-11,204.3943,6.573,133,en,,Action; Fantasy; Thriller
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,185.8988,8.6,16,en,US,Sci-Fi & Fantasy; Action & Adventure; Family; Drama
198178,tv,Wonder Man,2026-01-27,172.8768,6.976,82,en,US,Comedy; Drama
991494,movie,The SpongeBob Movie: Search for SquarePants,2025-12-16,144.0916,6.659,145,en,,Animation; Family; Comedy; Adventure; Fantasy
1368166,movie,The Housemaid,2025-12-18,143.6412,7.1,560,en,,Mystery; Thriller
1242501,movie,Icefall,2025-10-16,121.2173,6.439,106,en,,Action; Crime; Thriller
240459,tv,Spartacus: House of Ashur,2025-12-05,118.2901,6.336,146,en,US,Drama; Action & Adventure
1412598,movie,Killer Whale,2026-01-16,108.4499,5.707,46,en,,Thriller; Horror; Action; Mystery; Science Fiction
273160,tv,The Beauty,2026-01-21,107.8756,5.675,40,en,US,Drama; Sci-Fi & Fantasy
1252037,movie,The Tank,2025-09-18,100.1617,6.978,291,de,,War; Action; Drama
1167307,movie,David,2025-12-14,100.0763,7.8,42,en,,Animation; Family; Drama
1310568,movie,Murder at the Embassy,2025-11-14,86.3248,5.5,25,en,,Mystery; Thriller; Action
1608982,movie,From the Ashes: The Pit,2026-01-21,85.8485,3.8,15,ar,,Thriller; Drama
271855,tv,Sandokan,2025-12-01,78.706,7.383,30,en,IT,Action & Adventure; Drama; War & Politics
1198994,movie,Send Help,2026-01-22,77.8243,6.878,45,en,,Horror; Thriller; Comedy
1443762,movie,The Big Fake,2025-10-19,75.6598,6.46,88,it,,Thriller; Crime; Drama
1317288,movie,Marty Supreme,2025-12-19,75.6494,7.9,364,en,,Drama
1475490,movie,The Calling Witch,2026-01-20,73.8631,6.25,4,en,,Thriller; Horror; Drama
425274,movie,Now You See Me: Now You Don't,2025-11-12,73.0255,6.563,977,en,,Thriller; Crime; Mystery
254071,tv,Steal,2026-01-21,72.7053,7.709,55,en,GB,Drama; Crime; Mystery
628847,movie,Trap House,2025-11-14,72.071,6.648,193,en,,Action; Crime; Thriller
1206008,movie,Ella McCay,2025-12-11,69.6312,5.364,33,en,,Comedy; Drama
1511417,movie,Bāhubali: The Epic,2025-10-29,68.5994,6.1,26,te,,Action; Drama
1236153,movie,Mercy,2026-01-19,66.5702,6.7,83,en,,Science Fiction; Action; Thriller
259731,tv,HIS & HERS,2026-01-08,65.5232,7.174,221,en,US,Drama; Crime; Mystery
1054867,movie,One Battle After Another,2025-09-23,64.0761,7.422,2627,en,,Thriller; Crime; Action
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,62.638,7.255,274,en,,Horror; Thriller; Science Fiction
200875,tv,IT: Welcome to Derry,2025-10-26,60.8963,8.235,1237,en,US,Drama; Mystery
1228246,movie,Five Nights at Freddy's 2,2025-12-03,60.7693,6.7,677,en,,Horror; Thriller
1147411,movie,"Miraculous World: Tokyo, Stellar Force",2025-12-07,59.1186,9.333,12,fr,,Adventure; Animation; Action; TV Movie; Comedy
982843,movie,The Great Flood,2025-09-18,58.45,5.994,544,ko,,Science Fiction; Adventure; Drama
302463,tv,Dinastía Casillas,2025-10-07,55.6026,8.244,275,es,US,Drama; Action & Adventure; Mystery
279136,tv,Love Between Lines,2026-01-09,52.2536,7.9,12,zh,CN,Drama; Mystery
308482,tv,Taskaree: The Smuggler's Web,2026-01-14,51.287,7.188,17,hi,IN,Crime; Mystery; Drama
301507,tv,Heated Rivalry,2025-11-28,50.9952,8.8,253,en,CA,Drama
680493,movie,Return to Silent Hill,2026-01-21,50.3769,5.18,61,en,,Horror; Mystery
1575337,movie,Cosmic Princess Kaguya!,2026-01-22,49.4057,8.3,17,ja,,Animation; Fantasy; Music; Science Fiction
1062722,movie,Frankenstein,2025-10-17,49.2898,7.69,2772,en,,Drama; Fantasy; Horror
307423,tv,Doménica Montero,2025-12-08,48.7584,8.192,104,es,MX,Drama
1439112,movie,Muzzle: City of Wolves,2025-11-13,48.4455,6.752,101,en,,Action; Thriller; Mystery
